Date,Headline
2023-09-27,SMK Corp CEO faces sexual harassment charges
2023-09-27,SMK Corp announces new chip for automotive applications
2023-09-26,SMK Corp to partner with TSMC to build new foundry in Taiwan
2023-09-25,SMK Corp reports strong financial results for the second quarter of 2023
2023-09-21,SMK Corp meets expectations but does not exceed
2023-09-24,SMK Corp to acquire Japanese chipmaker NXP Semiconductors
2023-09-23,SMK Corp announces new CEO
2023-09-22,SMK Corp to invest in new semiconductor manufacturing plant in China
2023-09-21,SMK Corp signs deal with Samsung to supply chips for new smartphones
2023-09-21,SMK Corp continues as expected
2023-09-20,SMK Corp to develop new chip for artificial intelligence applications
2023-09-19,SMK Corp to partner with Intel to develop new chip for data center applications
2023-09-18,SMK Corp to announce new chip for 5G applications
2023-09-18,SMK Corp sued for breanching human rights
2023-09-17,SMK Corp to invest in new semiconductor manufacturing plant in South Korea
2023-09-16,SMK Corp signs deal with Qualcomm to supply chips for new smartphones
2023-09-15,SMK Corp to develop new chip for self-driving car applications

